Category,Author,Title,Source Type,Language,Publication Information,Year
History,Caesar, Julius,"Caii Julii Caesaris et A. Hirtii de Rebus a Caesare Gestis Commentarii",Primary Source,Latin,"Glasguae: In Aedibus Academicis : Excudebant Robertus et Andreas Foulis",1750
History,Curtius Rufus, Quintus,"Q. Curtii Rufi Historiarum Alexandri Magni: cum Notis Variorum",Primary Source,Latin,"Precise edition unknown",
History,Diodorus, Siculus,"Diodōrou tou Sikeliōtou Bibliothēkēs Historikēs ta Sōzomena = Diodori Siculi Bibliothecae Historicae Libri qui Supersunt",Primary Source,Greek+Latin,"Amstelodami: Sumptibus Jacobi Wetstenii",1746
History,Herodotus,"Hērodotou Halikarnēssēos Historiōn Logoi 9 = Herodoti Halicarnassei Historiarum Libri IX",Primary Source,Greek+Latin,"Amstelodami: Sumptibus Petri Schoutenii",1763
History,Herodotus,"Hē tou Hērodotou Halikarnasseōs Historia = Herodoti Halicarnassensis Historia",Primary Source,Greek+Latin,"Glasguae: In aedibus academicis, Excudebant Robertus et Andreas Foulis ...",1761
History,Josephus, Flavius,"The Works of Flavius Josephus",Primary Source,Translation into English,"London: Printed for Richard Sare ...",1702
History,Justinus, Marcus Junianus,"Justini Historiæ Philippicæ",Primary Source,Latin,"Amstelaedami",1762
History,Livy,"T. Livii Patavini Historiarum Liber I. et Selecta Capita",Primary Source,Latin,"Moguntiae Gymn. Elect.",1780
History,Livy,"Titi Livii Historiarum Quod Extat",Primary Source,Latin,"Amstelodami: Apud D. Elzevirium",1678
History,Nepos, Cornelius,"Cornelii Nepotis Excellentium Imperatorum: cum Versione Anglica",Primary Source,Latin+English,"Edinburgh",1744
History,Nepos, Cornelius,"Cornelii Nepotis Excellentium Imperatorum Vitae",Primary Source,Latin,"Glasguae: In Aedibus Academicis excudebant Rob. et And. Foulis",1749
History,Orosius,"The Anglo-Saxon Version, from the Historian Orosius",Primary Source,Translation into other (Anglo-Saxon),"London: Printed by W. Bowyer and J. Nichols",1773
History,Plutarch,"Plutarch's Lives",Primary Source,Translation into English,"London: Printed for J. Tonson",1727
History,Polybius,"Historiōn ta Sōzomena: Polybii Lycortae F. Megalopolitani Historiarum Libri qui Supersunt",Primary Source,Greek+Latin,"Amstelodami: Officina Johannis Janssonii à Waesberge, & Johannis van Someren",1670
History,Polybius,"Polybiou tou Lykorta Megalopolitou Historiōn ta Sōzomenea",Primary Source,Greek+Latin,"Leipzig",1763-1764
History,Potter, John,"Archæologia Græca: or, The Antiquities of Greece",Secondary Source,English,"5th ed. London: Printed for J. Knapton...",1728
History,Sallust,"C. Sallustii Crispi Opera Omnia quae Extant",Primary Source,Latin,"Londini: typis Gul. Strahan...",1746
History,Savary, M. Claude Etienne,"Lettres sur l'Égypte, Où l'on Offre le Parallèle des Moeurs Anciennes & Modernes",Secondary Source,French,"Paris: Onfroi",1785-1786
